name,rating,comments,author/translator,pub
在海拔壹万叁仟米的地方:成人童话,7.7,226,李果,新星出版社   2006年11月   49.80
苹果地里的特别列车,9.0,309,柏叶幸子、平井贵子   韩小龙,21世纪出版社   1999-8   10.20
飞马牌汽车,8.7,525,郑渊洁,学苑出版社   2005-2   12.00元
我爱小黑猫:不一样的卡梅拉5,9.0,518,(法)克利斯提昂.约里波瓦 文、(法)克利斯提昂.艾利施 图   郑迪蔚、漪然,二十一世纪出版社   2006-9   6.80元
傻狗温迪克,8.5,108,(美)凯特·迪卡米洛   傅蓓蒂,新蕾出版社   2006-08-01   14.00元
普希金童话诗·小驼马:世界儿童文学丛书,9.0,28,(俄)А.С.普希金、(俄)叶尔肖夫   任溶溶,人民文学出版社   1984.7   0.87元
捉猫故事集,8.4,13,Marcel Ayme   李玉民,外国文学出版社   1990.8   3.10
Alice'sAdventuresinWonderlandandThroughtheLooking-Glass:ANDThroughtheLookingGlass(PenguinClassics),8.9,60,Lewis Carroll,Penguin Classics   2003-4   GBP 6.99
我不知道我是谁:新经典文库,8.5,534,乔恩·布莱克、阿克塞尔·舍夫勒(图)   邢培健,南海出版社   2007-8   25.00元
365夜民间故事,9.7,41,"孟烈,成义,龙华编写",少年儿童出版社   1994.3   25.10
假如狐狸和兔子互道晚安:耕林文化精选绘本,8.5,51,卡尔廷·舍雷尔   陈俊,万卷   2009-8   12.80元
犟龟,8.4,192,米切尔·恩德、施吕特   何珊,二十一世纪出版社   2008-1   25.00元
Lagrammaireestunechansondouce,8.6,54,Erik Orsenna,Le Livre de Poche   2003-1-2   88.00元
纳尼亚传奇：能言马与男孩,8.1,636,[英]C.S.刘易斯   吴岩,译林出版社   2005-11   14.00元
小狗钱钱2:发掘和培养孩子的优秀品格,7.5,642,博多·舍费尔   王景楠,南海出版公司   2011-12   28.00元
怪鼠与割影刀:中华当代童话新作丛书,9.2,50,戴达,江苏少年儿童出版社   1996   12.80
少年国王传奇,9.7,22,玛丽亚·格里珀   任溶溶,安徽少年儿童出版社   1989   1.80
屎捞人·屎诗童话,8.7,765,谢立文,北京图书馆出版社   2004-6-1   15.00
两个小洛特:凯斯特纳作品精华,9.0,67,（德）埃里希・凯斯特纳   赵燮生,明天出版   1999-08-01   9.00
世界儿童文学名著名图宝典,0,10,格林兄弟	等   马爱农、苏福忠、姚翠丽、马爱新,生活·读书·新知三联书店  生活书店出版有限公司   2015-6   98.00元
六人飞行组,9.5,91,祝晓羽,中国少年儿童出版社   2003-06   15.00
走进魔法森林:格林童话研究,7.6,33,彭懿,外语教学与研究出版社   2010-2-1   35.00元
冷酷的心,8.9,42,[德]豪夫（Hauff，W.）等   杨武能,华夏出版社   2007-10-1   42.00元
门背后的秘密:日本大幻想小说,9.0,300,[日]三田村信行 著   韩小龙,二十一世纪出版社   1999-08-01   6.00元
纳尼亚传奇：黎明踏浪号,8.2,739,[英] C. S. 刘易斯 著、[英] 保利娜·贝恩斯 插图   陈良廷,译林出版社   2005-11   15.00元
王尔德童话,8.5,71,奥斯卡·王尔德,浙江少年儿童出版社   2006-8   9.50元
小熊温尼·菩,9.3,36,(英)米尔恩   潘缦怡,中国少年儿童出版社   1980-11-01   0.32
美麗城堡的禁忌傳說,6.5,74,桐生操,旗品   2000年01月12日   NT$ 199
黑猫尼诺,8.2,215,[德] 海邓艾希 文、布赫兹 图   肖素弟,中国轻工业出版社   2005-2   18.00元
上帝的火柴:用安徒生童话点亮心灯,8.2,39,,齐宏伟   陕西师范大学出版总社   45
酷蚁安特儿,8.0,26,霞子,中国少年儿童出版社   2006   18.0
邋遢大王奇遇记:《动画大王》丛书,9.0,985,凌纾 编文、阎善春、马克宣、常光希、刘泽岱 绘画,上海人民美术出版社   1986-3   0.62
没有耳朵的兔子,8.9,101,(德)克劳德•鲍姆加特、(德)蒂尔•施威格   王星,接力出版社   2011-2   18.00元
王尔德童话集,9.0,71,王尔德,外语教学与研究出版社   1981   0.40元
舒克贝塔和歌唱家,9.2,113,郑渊洁,二十一世纪出版社   2007-7   14.80元
菲斯的秘密,9.0,33,(法)简·弗朗西丝·夏伯丝、绘画：布莱恩·克里斯托弗   鲁蕾,新蕾出版社   2008-09-01   16.00元
冰箱里的企鹅:启发童话小巴士,7.9,21,(日)竹下文字 著、(日)铃木守 绘   林文茜,河北教育出版社   2012-11   15.80元
动物绝对不应该穿衣服:海豚绘本花园系列,8.3,1360,（美）茱蒂·巴瑞特（文）、（美）罗恩·巴瑞特（图）   沙永玲,上海人民美术出版社   2008-01   12.00元
玫瑰与戒指,7.2,10,[英] 萨克雷   何雁,甘肃人民出版社   1984-12   0.74元
世界童话名著精选,10.0,48,,江苏少年儿童出版社   1991   18.00
TheAnnotatedAlice:TheDefinitiveEdition,8.1,18,Lewis Carroll、Martin Gardner,W. W. Norton & Company   1999-11-17   USD 35.00
魔法手指:罗尔德·达尔作品典藏,8.4,114,(英)罗尔德·达尔 著、(英)昆廷·布莱克 绘   代维、任溶溶,明天出版社   2009-3   11.00元
鼹鼠的故事:鼹鼠和伙伴们,9.0,36,兹德内克·米莱尔   陈俊,接力   2009-12   15.00元
吹牛大王奇游记,9.1,51,（德）埃·拉斯伯   刘 浩,少年儿童出版社   1996-03-01   10.70
舒克贝塔航空公司,9.3,91,郑渊洁,二十一世纪出版社   2007-7   14.80元
安徒生童话精选（共六册）,8.7,1173,[丹] 安徒生,河北教育出版社   2002-6   48.00元
皮皮鲁和红沙发音乐城,8.8,264,郑渊洁,二十一世纪出版社   2007-3   13.80元
美丽的梦想,8.7,46,米歇尔.邵伯   陈宝,新疆青少年出版社   2008-6-1   28.00
皮皮鲁遥控老师,8.6,186,郑渊洁,二十一世纪出版社   2007-3   13.80元
蜗牛快递,8.8,155,熊亮、熊磊、邹春燕   邹春燕,中国人民大学出版社   2003-8-1   16.80
浮生五记:任溶溶看到的世界,8.2,35,任溶溶,上海译文出版社   2012-10   39.00元
绿野仙踪全集之三,9.7,154,（美）鲍姆   孙予等,上海译文出版社   1992   6.00
丰子恺童话,8.3,155,丰子恺,广西师范大学出版社   2004-3-1   12.00
阁楼的秘密:日本大幻想小说,8.8,244,松谷美代子,二十一世纪出版社   1999-08-01   8.30元
穿靴子的猫:《蓝仙女》童话故事集,7.9,18,[英]安德鲁·兰   郑大民等,上海译文出版社   1992   3.55
一百个中国孩子的梦,8.4,74,董宏猷,湖北少年儿童出版社   2006-1   29.80元
黑猫警长05:娘舅吃猫鼠,6.7,431,诸志祥、冰遥、范马迪、叶歌,中国电影出版社   1992-06   1.20元
魔法小仙子,7.7,35,晓玲叮当,二十一世纪出版社   2007-1   11.80元
踩着面包走的女孩:安徒生童话全集之九,8.9,286,(丹麦)安徒生   叶君健,上海译文出版社   1978年6月   0.35元
TuckEverlasting:真爱无尽,8.6,45,Natalie Babbitt,"Farrar, Straus and Giroux (BYR)   1985-11-01   USD 5.95"
飞毯侦探斯文唐:外国现·当代童话名著丛书,9.8,49,[瑞典]奥盖·赫姆贝里   高 锋、时 红,中国少年儿童出版社   1994-2-25   4元
魔法小仙子-天使的铃铛,7.8,21,晓玲叮当,二十一世纪出版社   2006-10   11.80元
西游新记:智慧树科学文艺丛书,8.8,173,童恩正,新蕾出版社   1985年4月   1.10元
郑渊洁中篇童话选,9.0,131,郑渊洁,学苑出版社   2002-6-1   41.00
巧克力味的暑假/阳光姐姐小书房:O(∩_∩)O,8.5,988,伍美珍,123   2009-5   16.00元
安徒生童话故事全集·春:插图本,9.2,72,安徒生,第1版 (2005年8月1日)   2004-11   24.8
TheOriginalFolkandFairyTalesoftheBrothersGrimm:TheCompleteFirstEdition,0,10,Jacob Grimm、Wilhelm Grimm   Jack Zipes,Princeton University Press   2014-10-19   USD 35.00
皮皮鲁保卫叛逆者,8.8,150,郑渊洁,二十一世纪出版社   2006-7   13.80元
彼得潘,8.7,508,[意] 里塞娜·莎波罗 编   蔡如茵,21世纪出版社   2001-10   6.80元
蛇山的爱子:日本大幻想小说,8.8,186,古田足日,二十一世纪出版社   1999-08-01   9.40元
猫头鹰王国(4围攻),9.1,26,凯瑟琳·拉丝基   姜玉雪,湖北少年儿童出版社   2010-1   21.80元
镜子与永无岛,7.9,13,[美]凯伦•科茨   赵萍,安徽少年儿童出版社   2010-1   16.00元
海蒂:阿尔卑斯山的少女,8.6,52,【瑞士】斯佩丽   王书清、罗晓风,中国文艺联合出版公司   1984年12月第1版   1.20元
木民谷的彗星,9.0,101,托芙・扬松   徐朴,明天出版社   2004-4-1   13.50
不能得罪的樱树,8.8,56,络绎,译林出版社   2013-11-1   28.00元
小幽灵:彩乌鸦系列,8.3,116,奥得弗雷德·普鲁士勒   吴裕康,二十一世纪出版社   2005-9   8.50元
土拨鼠日记,9.0,74,,桑丘   2009-1   16.00元
卖火柴的小女孩,8.8,86,（丹）安徒生 著，（日）黑井健 绘   季颖,上海辞书出版社   2005-03   20.00
俄罗斯童话,8.3,30,阿法纳西耶夫   沈志宏、方子汉,人民文学出版社   2007-7   17.00元
小精灵画传（全十册）,9.6,51,王培堃,陕西人民美术出版社   2011-4   88.00元
一个叫窦唯de孩子,7.0,127,林一苇,江苏文艺出版社   2007-4   16.00元
阳光姐姐魔法书小魔女蓝小鱼,7.9,60,伍美珍,浙江少儿   2008-5   15.00元
克雷洛夫寓言,7.8,213,克雷洛夫   辛未艾,上海译文出版社   2007-3   10.00
毛绒绒的逻辑·存在,8.6,343,简・西布鲁克   卢茵,希望出版社   2004-09   20.00
蝴蝶狮,7.8,242,(英)麦克·莫波格   幸佳慧,新世界   2007-1   19.80元
如今你的世界永远是黑夜,6.9,26,[法]马蒂亚斯·马吉尔   许方,浙江文艺出版社   2015-5   19.00元
史努比全集（全25册）,9.3,579,[美] 查尔斯·舒尔茨,希望出版社   2002-10   800.00元
法国童话选,9.6,62,贝洛   倪维中、王晔,外国文学出版社   1981-4   1.70元
那年夏天四叶草,8.2,40,贵图子,现代出版社   2013-4-1   27.00元
波莉安娜,8.4,573,[美] 埃莉诺·霍奇曼·波特   宋芳、张元婷,内蒙古人民出版社   2002-10   20.00元
WINDINTHEWILLOW柳林风,8.6,26,,25.00
绿拇指男孩,9.0,84,杜恩（法） Maurice Druon   甄大台,新蕾出版社   2008-4   14.00元
列那狐传奇:法国名作家青少年文学名著,8.8,74,（法）冀罗夫人   倪维中,中国文联出版社   1999-07   19.5
吃噩梦的小精灵,8.1,125,米切尔·恩德,二十一世纪出版社   2005-5   14.0
格林童话:外国儿童文学丛书,9.5,234,（德国）格林兄弟   魏以新、张威廉   少年儿童出版社,1985 8   1.30元
再见零,9.4,28,童喜喜   沈苑苑,中国少儿   2008-1   15.00元
不不园,8.4,91,中川李枝子、大村百合子   朱自强,接力出版社   2004-11-1   14.80元
格林童话全集,0,10,[德] 格林兄弟   魏以新,人民文学出版社   2015-6   39.00
遗失翅膀的天使:THEICARUSGIRL,7.6,130,海伦·奥耶耶美HELEN OYEYEMI   马渔,上海人民出版社世纪文学出品   2009   20.00元
奥当女孩,7.1,64,虹影 著、(英)切丽·登曼 图,(英)尼克·史密斯 英译   贵州人民出版社   2014-8
十一月的木民谷,8.9,131,托芙・扬松   徐朴,明天出版社   2004-4-1   13.00
酷蚁安特儿历险记,7.7,19,霞子,中国少儿   2008-6   19.80元
小王子2(中英文对照彩色版),8.4,166,安东·德·圣艾修伯里、Antoine de Saint-Exupéry,延边人民出版社   2003-1-1   19.80
我是霸王龙,9.1,1470,宫西达也   杨文,北京少年儿童出版社   2004-06   8.00
会讲故事的魔法椅子,0,10,Frances Browne,唐小茹   知识产权出版社   28
布伦迪巴:囚笼里的自由之花,7.2,17,刘耀辉,青岛出版社   2015-7-1   32
小王子:小王子·B612星球臻美笔记本,8.3,27,圣埃克苏佩里   许研,江苏人民出版社   2016-4-1   68.00元（布面精装全2册，含1册布面订制笔记本）
波利安娜:波利安娜,9.4,45,(美)埃莉诺·霍奇曼·波特|译者:史凯   史凯,北京科技   2010-1   22.00元
ANDERSEN＇SFAIRYTALES,8.8,33,Hans Christian Andersen,Wordsworth   1998-4   20.0
星语者:看得见星星的店,9.0,75,Chiya 绘、柯晗、易莎 编文,湖南美术出版社   2013-11   32.00元
童话选,9.3,69,叶圣陶、郭沫若、巴金、严文井、鲁兵、叶永烈 等,上海教育出版社   1978-10   1.60元
別的國家都沒有,9.3,296,陳志勇 (Shaun Tan),格林文化事業股份有限公司   2009-1-22   380 TWD
棒棒老师系列,7.7,22,段立欣,吉林美术   2009-1   15.80元
白雪公主和七个小矮人,8.4,108,[美] 兰德尔·贾雷尔 文、[美] 南希·埃克霍尔姆·伯克特 图   马景贤,河北教育出版社   2010-4   29.80元
海盗的女儿（上下册）:—海盗的女儿,7.5,14,许敏球,中国少年儿童出版社   2013-4   38.00元
小恩的秘密花园:启发精选国际大师名作绘本,9.0,328,文：[美]萨拉·斯图尔特、图：[美]戴维·斯莫尔   郭恩慧,河北教育出版社   2007-11   29.80元
黑玫瑰的七个魔法,8.8,271,(日)末吉晓子著,21世纪出版社   1999-8   9.00
皮皮鲁和机器猴,8.7,142,郑渊洁,二十一世纪出版社   2006-7   13.80元
18个童话女孩子,9.2,70,,安徒生   1998-9-1   16.00
屎捞人·浮屎若梦,8.6,802,谢立文 著 梁智添 画,北京图书馆出版社   2004-06   15.00
向着明亮那方,9.0,695,(日)金子美铃   吴菲、插图：苏打、策划：金莹,新星出版社   2007-1   20.0
彩色世界童话全集-第一辑,9.1,19,,新世界出版社   2012-3   120.00元
北风的背后,8.7,55,乔治·麦克唐纳   任溶溶,春风文艺出版社   2004-1   19.80元
每一次相遇都是一粒种子,8.2,67,,关漓 著、卷子 绘   中国华侨出版社   2013-7
【鲁莫与黑暗中的奇迹】一只沃泊亭格的诞生:鲁莫与黑暗中的奇迹,0,10,瓦尔特·莫尔斯   朱刘华,正中書局   2005-11-1   119.60元
涡堤孩:水之精灵的爱情,7.3,31,(德)莫特·福凯 著、(英)亚瑟·拉克姆 绘   徐志摩,时代文艺出版社   2012-9   48.00元
要是你给老鼠吃饼干,8.7,663,费利西亚·邦德图劳拉·乔菲·努梅罗夫,少年儿童出版社   2005-8   25.8
绿狗山庄:笑猫日记13,8.4,127,杨红樱,明天出版社   2011-1   15.00元
兔子的12个大麻烦,9.3,86,(英)埃米莉·格雷维特 文 图   代冬梅,二十一世纪出版社   2012-5   63.00元
嘭嘭嘭,9.1,63,童喜喜   沈苑苑,中国少儿   2008-1   15.00元
德国幽默故事精选:儿童外国文学精选本,9.3,34,(德)毕尔格等   王克澄、裴莹,上海译文出版社   1995.1   14.1
山精灵普克,7.2,65,[英] 鲁迪亚德·吉卜林   刘仲敬,广西师范大学出版社   2015-9-15   CNY 38.00
写给孩子们的故事:大作家小童书,0,10,[美]E.E.肯明斯  著、[巴西]古阿泽利  绘   王梅,人民文学出版社   2016-4   20.00元
我去找回太阳:不一样的卡梅拉4,9.0,533,(法)克利斯提昂.约里波瓦 文、(法)克利斯提昂.艾利施 图   郑迪蔚,二十一世纪出版社   2013-6   6.80元
陶奇的暑期日记,6.8,27,冰心 著、李天心 绘图,少年儿童出版社   1956年5月   0.22元
安徒生童话全集-全四卷,9.8,23,汉斯·克里斯蒂安·安徒生   廖梦竹,天津教育出版社   2009-10   128.00元
智慧小孩做得到:让孩子的人生起点，从此与众不同,9.3,31,奥利弗•杰弗斯   漪然,明天出版社   2009   67.60
亲爱的汉修先生:纽伯瑞儿童文学金牌奖,8.8,310,（美）贝佛莉・克利林   王孟�,中国少年儿童出版社   1998-08   6.60
小鱼散步,8.6,63,陈致元 文 图,明天出版社   2010-11   31.80元
敏豪森奇游记:敏豪森奇游记,8.5,22,拉斯伯   邵灵侠,浙江少年儿童出版社   2004-7-1   7.00
飞吧.乔舒亚!-与神对话的乌鸦,7.3,306,[英] 克里斯托弗•福斯特   蒋玉洁,天津教育出版社   2009年08月   22.00元
令人戰慄的恐怖世界童話與童謠,5.5,125,王聰霖,八方   2011-6-9   NT$280
魔女宅急便2:新经典文库,8.3,94,(日本)角野荣子 著、(日本)广野多珂子 绘   蔡春晓,南海出版公司   2008-3   20.00元
黄色童话,9.1,278,[英国] 安德鲁·朗格   濡弋、蔡北国 等,少年儿童出版社   1991-12   20.80元
故宫里的大怪兽-御花园里的火车站:御花园里的火车站,9.2,39,常怡,知识出版社   2015-9-16   20
冰姑娘:安徒生童话全集之十一,9.0,161,(丹麦)安徒生   叶君健,上海译文出版社   1978年6月   0.49元
飞翔的教室:凯斯特纳作品精华,8.7,57,（德）埃里希・凯斯特纳   赵燮生,明天出版社   1999-08-01   10.00
鳄鱼怕怕牙医怕怕,8.8,1941,五味太郎,少年儿童出版社   2004年10月   23.8
蛋壳里出来的奶奶,7.7,15,[捷]伊娃·普洛查兹科娃 著、[德]玛丽昂·格德尔特 绘   王泰智、沈惠珠,新蕾出版社   2011-5   14.00元
人面狮身的女子:王尔德短篇小说全集,8.6,315,[爱尔兰] 王尔德 著、[意大利] 克里斯蒂纳 图   赖慈芸,哈尔滨出版社   2002-9   19.80元
小王子堡垒,9.2,228,[法]圣艾克絮佩里   黄荭、邹琰 等译,世纪文景 上海人民出版社   2008-08   58.00元
猫儿事务所,8.0,29,(日)宫泽贤治 著、(日)黑井健 绘   周龙梅、彭懿,新星出版社   2013-8   33.80元
咬核桃小人和老鼠国王:咬核桃小人和老鼠国王,9.1,34,霍夫曼   何小超,浙江少儿   2008-5   12.00元
奥兹国的稻草人,8.6,31,弗兰克•鲍姆 (Frank Baum)、John R.Neill （绘）   肖锦银,北京联合出版社   2013-4   29.80元
圣诞节的魔法雪橇:狐狸村传奇,9.0,22,(美)辛西亚·帕特森 文、(美)布莱恩·帕特森 图   艾斯苔尔,少年儿童出版社   2010年1月   15.00元
今天运气怎么这么好,8.7,1091,(日)宫西达也 文 图   彭懿,南海出版公司   2007-6-1   22.00元
童话的魅力,0,10,麦克斯·吕蒂   张田英,社会科学文献出版社   1995-3   6.60元
黑猫警长.四:《动画大王》画库,9.6,29,诸志祥 编文、戴铁郎、范马迪、孙鞠娟、段洁 绘画,上海人民美术出版社   1991年3月   2.80元
小坡的生日,8.0,110,老舍,人民文学出版社   2000年5月1日   10.0
夏天的故事:全球儿童文学典藏书系,8.1,22,(美)珍·柏雪   张子樟,湖南少年儿童出版社   2008年5月   23.00元
小公主,9.0,1055,白涅德夫人 原著,黄得时 改写   北京出版社   1905
千代纸之春:小川未明的童话,8.6,26,(日)小川未明   王新禧,陕西人民出版社   2012-12   20.80元
“全不知”游太阳城:“全不知”三部曲,8.9,84,[苏联] 尼·诺索夫   昌茂,中国少年儿童出版社   1983年3月   0.65
狐狸的神仙,8.5,257,(日)阿万纪美子 文、(日)酒井驹子 图   蒲蒲兰,二十一世纪出版社   2007-05-01   29.80
没有尾巴的狼,7.9,110,杨红樱,作家出版社   2004-05   15.00元
春神跳舞的森林:启发精选华语原创优秀绘本,8.3,123,严淑女 文、张又然 图,河北教育出版社   2010年5月   29.80元
选择之道,5.6,583,安妮宝贝、沧月、安意如、冯唐、张悦然、李西闽、蔡骏、春树、孙睿,万卷出版公司   2009-1-1   18.00元
小房子:新经典文库,8.9,793,（美）维吉尼亚・李・伯顿   阿甲,南海出版社   2007-8   28.00元
长腿爸爸,9.5,139,(美)简.韦伯斯特   喻�琴,中国对外翻译出版公司   1988-04   10.00
爱丽丝梦游奇境,0,10,[法] 海贝卡·朵特梅 图,冷杉   山东文艺出版社   2016-2
我好想你,9.2,26,萨维勒·德活斯   柔光,四川少儿   2007-6   12.80元
乌拉波拉故事集,8.0,17,(德)柏吉尔   顾均正,中国少年儿童出版社   1979   0.31
发条钟,7.8,333,（英）菲利普·普尔曼   蔡宜容,人民文学出版社   2007-03   19.00元
灰国王:全球儿童文学典藏书系.第二辑,7.6,15,（美）苏珊•库珀   舒伟,湖南少年儿童出版社   2009年5月   18.00
郑渊洁家书,7.4,87,郑洪升,学苑出版社   2004-4   19.00元
猫头鹰王国1-暗算,8.3,94,(美)凯瑟琳·拉丝基   马爱农,湖北少年儿童出版社   2009年9月   21.80元
新美南吉童话,7.7,13,(日)新美南吉   刘迎,希望出版社   1999年1月   23.00
吃书的狐狸,8.9,155,[德] 弗朗刘斯卡·比尔曼   王从兵,北京科技   2009-5   24.80元
电话里的童话:国际安徒生奖获奖作家书系,8.6,44,贾尼·罗大里   张密、张守靖,河北少年儿童出版社   2001年05月   13.20
365夜故事（上下）,9.9,53,鲁兵 主编,少年儿童出版社   1997-3   33.60元
不一样的卡梅拉珍藏版Ⅱ,9.4,96,(法)克利斯提昂.约里波瓦 文、(法)克利斯提昂·艾利施 图   郑迪蔚,二十一世纪出版社   2009年10月   32.00元
舒克和贝塔（上篇）,9.3,911,郑渊洁,中国电影出版社   1996-06   16.00元
仙草姑娘,8.3,24,戴潍娜,新世界出版社   2014-3-1   35.00元
汤普森心理童话药书2:父母是孩子第一任心灵导师,9.2,101,琳达·汤普森,周常、祝卓宏   2012-11   38.00元
帽子里的天空,8.6,71,(英)特里·普拉切特   林晶,人民文学出版社   2005年12月   25.00
乌拉.波拉故事集:名家名译典藏书系,0,10,柏吉尔   顾均正,安徽少年儿童出版社   2009-1   18.00元
红沙发音乐城,8.8,1488,郑渊洁,学苑出版社   2004-10   10.00元
吹牛大王历险记:闵希豪生男爵的自述,0,10,(德)毕尔格   王克澄,上海译文出版社   1990-2   1.55元
路德維希革命1,8.5,4102,由貴香織里   江荷偲,東立   2005-7-11   新台币90元
神奇的玛丽阿姨:世界奇幻文学大师精品系列,8.9,81,(英)帕·林·特拉芙斯   任溶溶,明天   2005-07-01   10.00元
銀河鉄道の夜,9.4,58,宮沢 賢治   新潮社,1989 06   420 （税込）
道连·葛雷的画像快乐王子,8.9,190,[英] 王尔德   荣如德、巴金,上海译文出版社   2003-6   18.00元
春天在到来的路上:竹久梦二童话集,7.4,47,(日)竹久梦二 绘著   曾杨,天地出版社   2013-6   29.80元
环游世界做苹果派,8.7,119,(法)玛尤莉•普莱斯曼 文 图   李永怡,河北教育出版社   2009年5月   29.80元
快乐王子,8.6,22,（英）奥斯卡·王尔德   巴金,新星出版社   2015-8-1   32元
马戏团的动物明星,8.1,22,沈石溪,新蕾出版社   2001-09   14.00
亨利·休格的神奇故事:罗尔德·达尔作品典藏,7.7,25,(英)罗尔德·达尔   徐朴,明天出版社   2014-4   20.00元
鲁西西和水晶兔,8.3,69,郑渊洁,二十一世纪出版社   2008-3   14.00元
精卫鸟与女娃,8.9,35,薛涛,春风文艺出版社   2004-7-1   15.00元
